,metric_name,metric_id,mean_squarred_error,training_time,inference_time
12,messages_ready,a63e7c1e-f939-4f7c-9225-8d6a4ee335f8,3.320792847836888,46.29642128944397,0.06357550621032715
13,messages_ready,5ef49e43-2e64-4c4a-a766-1d83ce4fc921,10.283758628454885,46.29642128944397,0.06520509719848633
14,messages_ready,56443783-595c-4f64-a2cb-382be56ab9fa,530677.0707991819,46.29642128944397,0.06468868255615234
15,messages_ready,6874bc1f-b387-4464-b7c7-67e5f6f80a5b,1088380.9817669545,46.29642128944397,0.062047719955444336
16,messages_unacknowledged,2e6a0717-632b-486d-b254-2b57c11ef283,1.878182634684808,101.2468569278717,0.0739142894744873
17,ack,fcf0dce1-ec4d-437a-bff5-9e729993a5d6,1.569872210823556,101.11349368095398,0.0587005615234375
18,cpu_prct_used,439befad-05e4-4c4a-b858-b6b285d82300,14.554564315266417,110.41129565238953,0.06498980522155762
19,consumers,4583b548-0919-422e-84bd-7861d392be6c,2.3911776433706806,97.3181324005127,0.07098770141601562
20,cpu_prct_used,19de83dd-60a6-4b55-810d-e7c6522270d4,26.380557952602615,110.41129565238953,0.06914997100830078
21,messages,9bf7d77c-470b-4271-9842-3f39813df39d,607.9515040280762,102.83129453659058,0.07152271270751953
22,memoryConsumed,f943f1e8-4ebd-45b0-95ac-5fb0514e6b15,464856.2097509293,102.46603775024414,0.2065267562866211
23,cpu_prct_used,2c354d5d-5a3d-4281-ab05-3b0e8074cac4,5.447161455002974,110.41129565238953,0.06606483459472656
24,cpu_prct_used,1a78350c-5973-4525-a5a3-f8c9532c1300,28.709870303295194,110.41129565238953,0.06603312492370605
25,ack,b04775fb-05d1-4430-82b8-ccf012ffb951,4.980534045221491,101.11349368095398,0.0559694766998291
26,cpu_prct_used,99cfb50b-d959-40b5-b137-911a99d41eed,1.4807976430364118,110.41129565238953,0.21318960189819336
27,ack,83d9cb78-0b13-482b-91ef-e712e11829df,4.570659291730678,101.11349368095398,0.06210184097290039
28,messages_ready,5954115e-4dea-40b6-b29d-08a6ecaa90e9,3.320792847836888,46.29642128944397,0.0661017894744873
29,messages_unacknowledged,a704402a-78cf-4fc9-aad2-7e960865af94,2.0916709256477106,101.2468569278717,0.06962084770202637
30,cpu_prct_used,2883c27f-a3f0-4ebe-92eb-f59f58a67321,4.116106329297983,110.41129565238953,0.06284952163696289
31,memoryConsumed,6aa27981-dbbe-4b2a-888e-86ac62b627db,17132.149894277718,102.46603775024414,0.19471263885498047
32,cpu_prct_used,a55d4b31-c24f-45dc-ab83-1a49d2ca66dd,65.1585918344139,110.41129565238953,0.07428288459777832
33,cpu_prct_used,ac8519bc-2985-4869-8aa8-c5fdfc68ec44,3.9404472341229524,110.41129565238953,0.0709531307220459
34,cpu_usage,4b230578-a6b1-4b08-bc78-4caf3771c3f7,0.8804251537344203,99.67228412628174,0.2101447582244873
35,ack,0e33bc37-e207-4c4c-bad0-f8f9b7dc45a3,1.569872210823556,101.11349368095398,0.06304502487182617
36,messages_ready,c1551b0b-59c9-4520-a9aa-e37cf66e14d6,3.320792847836888,46.29642128944397,0.06907773017883301
37,cpu_prct_used,af33574c-c852-4b76-9e67-b19ad444250d,1.3913957838535516,110.41129565238953,0.0672750473022461
38,cpu_usage,7e4a1bad-0fa8-470b-bf78-97a4dc24f68f,1.0039805225253577,99.67228412628174,0.04477500915527344
39,messages,0835b76f-d695-4a13-b6e2-4a4617fd7338,4675.870614120968,102.83129453659058,0.07110309600830078
40,cpu,a81f3ad9-93cf-488c-8810-7dd44ef25a6e,2.7370532189443706,100.33719420433044,0.06449341773986816
41,cpu_prct_used,bc1494de-1529-4905-9fb3-51e440f7fa07,16.346005461006367,110.41129565238953,0.06770777702331543
42,consumers,ba4f28c7-fa97-4233-84bf-230457afce08,2.4296697389008686,97.3181324005127,0.08104991912841797
43,memoryConsumed,44203561-815a-48aa-ae9c-299eff0c64d8,33026.01738024129,102.46603775024414,0.04738283157348633
44,messages_unacknowledged,dbab29c2-a17b-4e2a-90a0-f18f513bfdc2,1.878182634684808,101.2468569278717,0.07268905639648438
45,cpu_ready,205c24a7-82be-44ab-86f8-0a680c1cd275,7.370391181491854,102.43326735496521,0.06509113311767578
46,messages_unacknowledged,049d35fa-af41-4479-ba7b-55873bfc377e,2.5268119240662275,101.2468569278717,0.06785869598388672
47,messages_unacknowledged,1abd43d3-55ba-4237-afbf-23f06414beea,1.878182634684808,101.2468569278717,0.05675768852233887
48,messages_ready,b7701594-0a23-47f7-a645-bcfd09a9001e,3.320792847836888,46.29642128944397,0.048476219177246094
49,memoryConsumed,ed071ac9-71ae-4d77-8931-66e8104b8f5a,264758.8337789695,102.46603775024414,0.05401897430419922
50,messages_unacknowledged,12027b10-1307-4e2c-8e4e-85c37bf35187,2.0686385386885644,101.2468569278717,0.06457662582397461
51,messages_unacknowledged,45a2ed7a-b76a-4b52-813a-90f3dda0e832,1.8967909088851673,101.2468569278717,0.0543978214263916
52,cpu_usage,58e9463b-1d0c-445c-a06d-385a91fa48d4,38.296894124842225,99.67228412628174,0.06289458274841309
53,ack,51ac052e-3c67-497f-8d5a-188190e242db,1.569872286759219,101.11349368095398,0.05445456504821777
54,consumers,bdc7c8e6-1944-460f-b8f5-571af0b539da,0.04925651265349495,97.3181324005127,0.0665280818939209
55,consumers,ea524275-33c6-4aee-96fa-a7c194744f3a,4.764908933780036,97.3181324005127,0.06564784049987793
56,cpu_prct_used,457438df-897f-47dc-8607-a651cd8a3239,49.76478855262524,110.41129565238953,0.06264114379882812
57,memoryConsumed,6f25a6a6-ffa9-4cb6-acd2-7b885cb16e13,33025.689879244004,102.46603775024414,0.05103754997253418
