,metric_name,metric_id,mean_squarred_error,training_time,inference_time,p_Value
38,cpu_usage,7e4a1bad-0fa8-470b-bf78-97a4dc24f68f,0.15484647715019983,0.7638416290283203,0.00072479248046875,2.5920734647113026e-10
39,messages,0835b76f-d695-4a13-b6e2-4a4617fd7338,17.0,0.04813790321350098,0.0004200935363769531,0.7700083330947107
40,cpu,a81f3ad9-93cf-488c-8810-7dd44ef25a6e,0.8937652555014012,0.11876726150512695,0.0004267692565917969,2.0282786324594213e-13
41,cpu_prct_used,bc1494de-1529-4905-9fb3-51e440f7fa07,7.537478334052289,1.2130985260009766,0.0004608631134033203,0.003634930464898362
42,consumers,ba4f28c7-fa97-4233-84bf-230457afce08,0.00046257049349155587,0.2133338451385498,0.00044035911560058594,2.3020970479691912e-08
43,memoryConsumed,44203561-815a-48aa-ae9c-299eff0c64d8,26.178851608480823,0.3784775733947754,0.0004527568817138672,1.2431436357625503e-08
44,messages_unacknowledged,dbab29c2-a17b-4e2a-90a0-f18f513bfdc2,4.824558165895698e-06,0.34198546409606934,0.00038552284240722656,
45,cpu_ready,205c24a7-82be-44ab-86f8-0a680c1cd275,9.118078185068375,0.17659378051757812,0.00040841102600097656,1.7405049261700467e-07
46,messages_unacknowledged,049d35fa-af41-4479-ba7b-55873bfc377e,2.9528052828495355,0.23110699653625488,0.00044989585876464844,3.15362794017055e-09
47,messages_unacknowledged,1abd43d3-55ba-4237-afbf-23f06414beea,4.824558165895696e-06,0.18661832809448242,0.00036263465881347656,
48,messages_ready,b7701594-0a23-47f7-a645-bcfd09a9001e,4.824558165895696e-06,0.18690800666809082,0.000377655029296875,
49,memoryConsumed,ed071ac9-71ae-4d77-8931-66e8104b8f5a,304021.3871204275,0.04840970039367676,0.00039577484130859375,0.1678644115144436
50,messages_unacknowledged,12027b10-1307-4e2c-8e4e-85c37bf35187,0.17448793748685698,0.5131232738494873,0.0004391670227050781,4.393374968100802e-05
51,messages_unacknowledged,45a2ed7a-b76a-4b52-813a-90f3dda0e832,0.0034976494672254053,0.059047698974609375,0.0003883838653564453,0.0
52,cpu_usage,58e9463b-1d0c-445c-a06d-385a91fa48d4,10.338001372097054,0.10415768623352051,0.0004353523254394531,0.20706716473246745
53,ack,51ac052e-3c67-497f-8d5a-188190e242db,4.824558165895702e-06,0.31710004806518555,0.00036716461181640625,
54,consumers,bdc7c8e6-1944-460f-b8f5-571af0b539da,0.0017671198551472147,0.1970505714416504,0.00038695335388183594,0.0
55,consumers,ea524275-33c6-4aee-96fa-a7c194744f3a,8.120109493522263e-07,1.2019827365875244,0.00045037269592285156,0.15094915964008493
56,cpu_prct_used,457438df-897f-47dc-8607-a651cd8a3239,20.555289853053043,1.074864149093628,0.0008275508880615234,0.006556266405569315
57,memoryConsumed,6f25a6a6-ffa9-4cb6-acd2-7b885cb16e13,23.18995407148819,0.6713051795959473,0.00046634674072265625,2.316754312221181e-09
58,cpu_usage,ec29c9f5-c6bd-4699-a2b0-aa3ae0e60064,1.9237268598772863,0.7106683254241943,0.000446319580078125,9.970249702579691e-19
59,cpu_prct_used,ae320972-f612-4cef-8570-908250b8bd1a,7.226808135718983,0.06885719299316406,0.00043702125549316406,2.145207067002908e-05
60,messages,5a5933ad-ba4d-45f9-b508-b6eebc034fe0,4.824558165895698e-06,0.3444540500640869,0.0003809928894042969,
61,messages_unacknowledged,43400768-8ade-4567-a8cc-209ce26d4824,2.6788496392338863,0.30202484130859375,0.0004222393035888672,3.7945870856918055e-15
62,cpu_prct_used,30bec8cf-56cc-4a6b-a125-5c5d0a29585e,4.889748222413475,0.48935651779174805,0.0007662773132324219,0.11813636049757248
63,cpu_usage,6ba1bc05-7ead-4d7b-a043-f9b900fc0757,17.127414238470713,1.0671398639678955,0.0004467964172363281,0.4349492110036084
64,cpu_prct_used,00f32458-39cf-4361-9abb-34247262b192,17.254114933916238,2.9179739952087402,0.0007684230804443359,0.10987634438316196
65,messages_unacknowledged,c8728ee5-d840-41ba-9c55-6f98901b3813,1.3062196052229034,1.2189123630523682,0.0004608631134033203,7.080191991654926e-11
66,messages_unacknowledged,0e7f6842-3042-4d4e-a9d9-01a699043445,85.70913413399272,1.1350822448730469,0.00045871734619140625,5.678146150293608e-07
67,cpu_prct_used,89d30671-0559-4b5b-b514-b99a6cb2a4d5,4.209643135575571,0.9072375297546387,0.000457763671875,0.003901998135156354
68,messages_ready,ee9b7711-cc03-4335-b3bc-a6fd644ed113,1647.4294613432864,4.977857828140259,0.000823974609375,3.902315928609794e-06
69,messages_ready,8e42b1ac-4b2d-4c1f-bc26-e33e837ce215,4.82455816589569e-06,0.19929981231689453,0.00038361549377441406,
70,memoryConsumed,988ca002-ed23-4cf3-a318-f4a77fb6b439,14553.52237093597,0.16869044303894043,0.0006906986236572266,0.08022129317227139
71,messages_unacknowledged,78567380-7739-4a1b-abc2-ae51bd5ebb0c,1.5313178075473448,0.27858829498291016,0.000453948974609375,1.6792406424170725e-12
72,consumers,82e74c79-2b56-4ba1-ad8b-7269c7d9abb1,4.97564935385653e-07,0.4763641357421875,0.00045228004455566406,0.15312179596768077
73,messages_unacknowledged,933faead-4086-426b-8af5-d581e19522fe,4.824558165895706e-06,0.3118276596069336,0.00042939186096191406,
74,messages,7f39d207-f4d4-42c7-b12a-ab7af23d9a32,390482.27733205387,1.017073392868042,0.00047898292541503906,0.7344555429878565
75,cpu_prct_used,992abae2-0839-40c3-9e88-9a30da702f0f,14.696359008765656,0.031397342681884766,0.000438690185546875,0.6708863729138123
76,ack,b775bb3a-330d-433a-adf5-40c717321c61,22.984912191465554,0.3580141067504883,0.0004565715789794922,3.1682891425412183e-09
77,cpu_wait,6b22bac2-5e47-41a3-baa8-2c4247feddcb,1805.4459062651392,0.4192349910736084,0.0004515647888183594,2.311808084443175e-30
78,messages,2266027c-9917-4b3b-868f-ec8bf9544211,17.947067745845143,0.08026123046875,0.00044155120849609375,0.0
79,messages_ready,38f9d677-f26b-4fda-b489-29b9e426a9c9,891.0762500732422,0.426987886428833,0.0004591941833496094,9.592721707344203e-07
80,messages_unacknowledged,2b18dc57-481f-4112-93d9-274cb8569fc8,0.0005569992233273265,1.2346720695495605,0.0004730224609375,0.0
81,messages_ready,31460db4-f422-4f00-8f23-c8c2430100cb,17.0,0.04779195785522461,0.00040841102600097656,0.7700083330947107
82,messages_unacknowledged,94c1c198-be9b-4e6f-81c7-332f3d3550e1,4.824558165895708e-06,0.19851255416870117,0.00040268898010253906,
83,cpu_prct_used,2e5afd22-456a-4820-ac78-081ec7a38e7f,0.7867436711779116,0.03959012031555176,0.0003914833068847656,5.398298049097203e-14
84,cpu_prct_used,925b62d0-8322-4659-82c7-11c25615bb32,19.44049660023914,1.2899439334869385,0.00045800209045410156,0.0013170537428464112
85,messages_unacknowledged,55f5155f-6b82-4784-9616-827acd1e0c19,4.824558165895705e-06,0.19954276084899902,0.0003726482391357422,
86,messages_unacknowledged,8350f4d3-0486-4d45-bbde-458e8016e77d,310.2137114606826,0.795457124710083,0.0004353523254394531,0.24628678170714996
87,consumers,ac84216f-f086-47a9-b8f9-2699ec1bb632,4.875330136409176e-07,0.14148187637329102,0.0004799365997314453,0.08636714612750745
88,messages_unacknowledged,f4cc2725-4f66-45cf-bfb4-5374619d2b51,0.042182657848071695,0.1996302604675293,0.0004265308380126953,0.0
89,consumers,7bc35aa4-f957-4681-a925-9e44278d21b9,4.82455816452898e-06,0.3556504249572754,0.00038933753967285156,
90,messages_ready,377fefc3-ba69-4a1d-ae99-855fc667acb3,390478.68833235744,1.3927178382873535,0.0004534721374511719,0.7344756554853605
91,messages_ready,bcf9ac6b-a435-47ec-b8e6-a0dc425d4a1d,4.824558165895695e-06,0.19769740104675293,0.0003771781921386719,
