metric_name,metric_id,mean_squared_error,training_time,inference_time
cpu_prct_used,091c334c-a90a-4d8f-ba75-2c936220cd64,4.19232241669023,30.8227705955505,0.041278600692749
messages_unacknowledged,fe897d86-1ea4-4e00-a018-5cd8702e96b3,34.3485160762532,16.8292458057404,0.041721820831299
cpu_prct_used,cc0f3149-f443-4ba8-b8ae-931fedb52e82,9.43321201349792,15.8795001506805,0.042569398880005
messages,32e3bff5-5ab7-491a-a1c0-cf3952ac5530,4.70052187580051E-05,16.0712881088257,0.042084455490112
cpu_usage,a88abad6-0f29-4d5e-b688-ba698ab97d59,9.3839077147542,17.0320785045624,0.04297137260437
consumers,81e5a28a-cbc1-4652-ad63-29d99142bace,0.000185460165902,16.8421280384064,0.041927576065064
ack,eff3da11-6f06-48a4-8187-35fdcded15ec,32.1746978484744,17.4799001216888,0.039855003356934
ack,3436bacf-c5d3-4c51-8b3f-8196fddae06f,0,17.15585064888,0.042963981628418
cpu_usage,e7ea3817-6a9a-4eab-aa56-bb8bb3c0385a,5.45026119201247,17.361602306366,0.039596319198608
messages,406bb3d8-3043-4169-aa78-406dd46d26db,830645.287241191,17.3055417537689,0.039797782897949
cpu_prct_used,05398140-2e37-4635-ad89-b48dc87fb26e,3.58988386428553,16.4383211135864,0.041100025177002
messages_ready,f0dd3b75-740a-4a37-bcef-9f78f4e35019,0,10.4431817531586,0.044029474258423
messages_ready,a63e7c1e-f939-4f7c-9225-8d6a4ee335f8,0,18.0782465934753,0.041884422302246
messages_ready,5ef49e43-2e64-4c4a-a766-1d83ce4fc921,0.449732892579931,17.7579364776611,0.295308589935303
messages_ready,56443783-595c-4f64-a2cb-382be56ab9fa,67.9533423628393,17.5534195899963,0.043070077896118
messages_ready,6874bc1f-b387-4464-b7c7-67e5f6f80a5b,830646.51015459,16.9518659114838,0.042288780212402
messages_unacknowledged,2e6a0717-632b-486d-b254-2b57c11ef283,0,17.6323652267456,0.044161558151245
ack,fcf0dce1-ec4d-437a-bff5-9e729993a5d6,0,17.2389190196991,0.04450249671936
cpu_prct_used,439befad-05e4-4c4a-b858-b6b285d82300,9.28488139514839,18.1364855766296,0.040568113327026
consumers,4583b548-0919-422e-84bd-7861d392be6c,0.079474936659058,18.1060919761658,0.042757034301758
cpu_prct_used,19de83dd-60a6-4b55-810d-e7c6522270d4,6.92840392257168,18.1019973754883,0.049887895584107
messages,9bf7d77c-470b-4271-9842-3f39813df39d,227.34421176929,17.2067353725433,0.07110595703125
memoryConsumed,f943f1e8-4ebd-45b0-95ac-5fb0514e6b15,497010.698766133,76.7970125675201,0.091264963150024
cpu_prct_used,2c354d5d-5a3d-4281-ab05-3b0e8074cac4,0.228111717085629,17.2740015983582,0.058260917663574
cpu_prct_used,1a78350c-5973-4525-a5a3-f8c9532c1300,9.13925019709161,17.595721244812,0.043390512466431
ack,b04775fb-05d1-4430-82b8-ccf012ffb951,0.281639888513795,17.3214991092682,0.041061401367188
